任务ID,任务名,agent,停用前启用,当前启用,结论
0700bb14-08cf-4906-ba15-c30c3c976543,dalton-coverage-maintenance,chem,True,False,本轮停用
5ddad4b6-fe12-4a3a-bce9-edeaafc3869d,dalton-coverage-dispatcher,chem,True,False,本轮停用
c3b43eb2-e379-4c86-8403-a7485ae3cc25,dalton-coverage-market,chem,True,False,本轮停用
8edaf26b-330f-4218-aca8-b2cc743e0401,dalton-coverage-filings,chem,True,False,本轮停用
4c323d0b-2478-4b3e-94fe-a39697cdcb5b,dalton-coverage-industry,chem,True,False,本轮停用
dbd7e5f4-d116-4195-9c45-7e1264b8f50a,dalton-coverage-source-monitor,chem,True,False,本轮停用
f9ea3f7d-3c37-4363-b512-bc60d3d7d688,skill-collection-review-chem,chem,True,True,系统限制，待决定全局开关
87daed6a-205e-4c31-ae6f-d61f779e19bf,dalton-coverage-health,chem,True,False,本轮停用
1b38aeaf-d271-4f19-b9dc-6b53c0983922,dalton-coverage-daily-report,chem,True,False,本轮停用
10a48582-cf10-405b-a102-edc4daee8b4c,dalton-coverage-weekly-pack,chem,True,False,本轮停用
8afc56ae-32bd-4617-876e-56335c1709a3,dalton-coverage-zero-base,chem,True,False,本轮停用
09dadcde-60da-4dd3-8ba8-c15b7972b3fe,dalton-task4fix-acceptance,main,False,False,原已停用
135a7ecf-b472-492d-89c9-4cbbf9b604c6,dalton-task4-resume,chem,False,False,原已停用
20df273a-435a-44ce-954b-39ec16f0e8a2,chem-template-upgrade-20260727,chem,False,False,原已停用
5e88fb9e-0a19-4d0c-8ce4-aea3b37a8775,dalton-task4-sol,chem,False,False,原已停用
6eee966a-fb8a-4751-9ebb-77410b83562a,dalton-task4-fix,chem,False,False,原已停用
95644050-5b86-4e61-974a-2b9bd7348f38,chem-template-upgrade-验收-20260727,main,False,False,原已停用
af6b8d70-82c6-4155-b723-7c3a48b0e293,dalton-task3-initial-screens,chem,False,False,原已停用
b2673d28-35b1-4050-b322-2be0f07300f2,check-dalton-phase1-output,main,False,False,原已停用
e4b16e12-6931-4873-b9f5-d39902ffd3bf,dalton-task2-ethylene-tracker,chem,False,False,原已停用
f102aefc-6fe6-41eb-976d-4d7a75b2a06c,dalton-task4-model-template,chem,False,False,原已停用
