原相对路径,标题,字节数,SHA256,来源链接出现次数
research-outputs/active-coverage/README.md,# Active Coverage Outputs,355,797300acab103d4189810ea9e254958711f423d53a9175d0b389889578d10f6b,0
research-outputs/active-coverage/basf/2026-08-12-ms-consensus-bridge-update.md,# BASF：Morgan Stanley 2Q26 后 consensus bridge 更新,8412,b534454893dbadfbc6d04dba39e29666cf7d6d285704549b2cbf4bd0d592fafb,3
research-outputs/active-coverage/basf/2026-08-12-npg-hdo-price-pass-through.md,# BASF 欧洲 NPG/HDO 提价：传导核查,9649,ba3b1d2c3d717ab9c6a8d926b326bd988314f2fd596dd3117cc00092ed6771f7,11
research-outputs/active-coverage/basf/2026-08-14-barclays-q3-spreads-rhine.md,# BASF：Barclays Q3 价差与莱茵物流核验,12625,787c01b63aaa70034065b22e89d2dc42a8d0c0b7c761c091915cbff9343f91af,7
research-outputs/active-coverage/basf/2026-08-14-citi-consensus-volume-bridge.md,# BASF：Citi 2027 周期复苏与销量敏感度桥,9167,6871757c4088dc2e090d5649432bbba61032090fe06ad1cf3672efdbce79a40b,1
research-outputs/active-coverage/basf/2026-08-16-rhine-record-low-company-event.md,# BASF：Kaub 6 厘米后的 Ludwigshafen 物流与 Q3 风险,16975,20f9f6412df9b6d2c58fec2320b2a06bfdfa5cef9f50b99e3bc9612ae033c881,14
research-outputs/active-coverage/basf/2026-08-21-eu-gas-cost-sensitivity.md,# BASF：欧洲天然气价格与 2026Q4 / 2027H1 盈利敏感度,11895,23938afb96ce0aee6943b0b552a3dcd8977a9f77d2e3ea61ea90c24de0dd4487,5
research-outputs/active-coverage/basf/2026-08-22-citi-week34-segment-spread-bridge.md,# BASF：Citi 第34周区域价差与 2026Q3 分部桥,11578,0d2a1513de5504a2c2bed4a661be6fa2397e365cfcfbdd7c2e7308e4674cf8c9,2
research-outputs/active-coverage/basf/2026-08-24-rhine-force-majeure-logistics-update.md,# BASF：莱茵低水位、不可抗力与 Barclays 极端运输缺口复核,14376,98a18ad9fd24d3b3dcf83710317eed8453d2662b414323fd9d19d227349080d7,9
research-outputs/active-coverage/basf/2026-08-26-kepler-target-price-review.md,# BASF：Kepler Cheuvreux 目标价上调复核,5462,9f74c1fc98b0a00332a910d60e3f5883176d0c2967f434f82d2d6c9da72a306f,3
