ID,公司,决定,时间UTC,thesis变化,模型变化,估值变化,置信度,原产物路径
1,wanhua,NEW_THESIS,2026-08-12T19:31:10+00:00,新增WH-T1、WH-T2、WH-T3；MDI护城河确认度高于石化和新材料，2026盈利修复不能直接年化。,本次不改模型；下一次正式半年报需重做分部利润、项目ROIC和FCF bridge。,暂无正式目标价调整；卖方样本2026E利润中位数186.9亿元仅作为预期锚。,medium,research-outputs/active-coverage/wanhua/deep-insights-v1.md
2,basf,NEW_THESIS,2026-08-12T21:29:46+00:00,建立BASF-T1至T4；Verbund只视为有条件的效率与韧性平台，正式多头等待Zhanjiang ROCE与underlying FCF验证。,下一步建立2026-2030分部EBITDA/FCF/ROCE模型，单列Zhanjiang、周期价差、降本、折旧、营运资金和组合处置。,不预设SOTP折价收窄；Ag高倍数与Verbund复苏需分别验证，避免双重计价。,medium,research-outputs/active-coverage/basf/deep-insights-v1.md
3,basf,NO_CHANGE,2026-08-13T00:10:56+00:00,Slight directional support for BASF-T2 but insufficient to upgrade; BASF-T3 remains intact.,"No forecast change. Do not book announced €250/t and €300/t without European volume, contract reset, realized price, and contribution-margin evidence.","No change; even an intentionally overstated global-capacity mechanical revenue bound is below 0.2% of 2025 group sales before costs, discounts, volume loss, and timing.",medium,research-outputs/active-coverage/basf/2026-08-12-npg-hdo-price-pass-through.md
4,basf,NO_CHANGE,2026-08-13T01:18:18+00:00,"BASF-T1 and BASF-T2 receive a small monitoring flag from higher D&A and weak Nutrition & Care price/mix, insufficient to weaken either thesis; BASF-T3/T4 unchanged.","Created BASF v0.2 model with 2025A and 2Q/H1 2026 segment actuals, MS old/new EPS bridge, D&A audit and NPG/HDO exclusion. EPS residual remains unallocated because the report gives no factor split.","No change: Morgan Stanley kept €56 PT and Overweight; no WACC, multiple or SOTP value change.",medium,research-outputs/active-coverage/basf/2026-08-12-ms-consensus-bridge-update.md
5,wanhua,NO_CHANGE,2026-08-13T12:12:22+00:00,WH-T2不变；单点不足以增强或削弱。,不更新模型；现有模型无乙烯/石脑油独立driver，且禁止从单点proxy外推分部利润。,不变。,medium,research-outputs/active-coverage/industry/2026-08-12-nea-ethylene-naphtha-spread.md
6,basf,NO_CHANGE,2026-08-13T12:12:22+00:00,BASF-T2和BASF-T3不变；持续负价差与结构压力相容，但单点不能进一步削弱或增强。,不更新模型；BASF v0.2无产品级乙烯/石脑油driver，项目仍处爬坡期。,不变。,medium,research-outputs/active-coverage/industry/2026-08-12-nea-ethylene-naphtha-spread.md
7,wanhua,NO_CHANGE,2026-08-14T00:16:29+00:00,轻微支持WH-T1的有效供给机制，但不足以提高置信度；WH-T2和WH-T3不变。,不改年度销量、ASP、利润；仅记录3.70万吨与2.40万吨机械少产上限及复产观察点。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-08-11-tdi-turnaround-analysis.md
8,wanhua,NO_CHANGE,2026-08-14T01:18:06+00:00,WH-T1方向性支持但置信度不变；WH-T2/WH-T3不变。,无；不使用公开基准或18200元/吨厂商报价替代万华实现价。,无。,medium,research-outputs/active-coverage/industry/2026-08-13-tdi-rhine-supply-disruption.md
9,basf,NO_CHANGE,2026-08-14T01:18:06+00:00,BASF-T3获支持、BASF-T2也获运营韧性支持，净置信度均不变。,无；不录入2026运费、损失销量或机械复制2018年250百万欧元影响。,无。,medium,research-outputs/active-coverage/industry/2026-08-13-tdi-rhine-supply-disruption.md
10,wanhua,NO_CHANGE,2026-08-14T12:34:08+00:00,WH-T2 不变。,不更新；无可审计的 proxy 到分部利润传导系数。,不变。,medium,research-outputs/active-coverage/industry/2026-08-14-nea-ethylene-naphtha-spread-followup.md
11,basf,NO_CHANGE,2026-08-14T12:34:08+00:00,BASF-T2/BASF-T3 均不变。,不更新；缺 Zhanjiang 产品级负荷、贡献利润、折旧和 ROCE。,不变。,medium,research-outputs/active-coverage/industry/2026-08-14-nea-ethylene-naphtha-spread-followup.md
