ID,公司,任务类型,状态,到期时间,尝试次数,原输出路径,失败原因
1,wanhua,deep_insight_initiation,done,2026-08-12T19:01:16+00:00,1,research-outputs/active-coverage/wanhua/deep-insights-v1.md,
2,linde,deep_insight_initiation,done,2026-08-12T19:01:16+00:00,1,research-outputs/active-coverage/linde/deep-insights-v1.md,
3,basf,deep_insight_initiation,done,2026-08-12T19:01:16+00:00,1,research-outputs/active-coverage/basf/deep-insights-v1.md,
4,linde,project_roic_model,done,2026-08-19T12:00:00+00:00,1,research-outputs/active-coverage/linde/sog-backlog-roic-v1.md,
5,basf,price_pass_through_check,done,2026-08-12T23:20:59+00:00,1,research-outputs/active-coverage/basf/2026-08-12-npg-hdo-price-pass-through.md,
6,basf,consensus_bridge_update,done,2026-08-12T23:20:59+00:00,1,research-outputs/active-coverage/basf/2026-08-12-ms-consensus-bridge-update.md,
7,,industry_driver_update,done,2026-08-13T11:10:45+00:00,1,research-outputs/active-coverage/industry/2026-08-12-nea-ethylene-naphtha-spread.md,
8,wanhua,event_analysis,done,2026-08-13T23:22:30+00:00,1,research-outputs/active-coverage/wanhua/2026-08-11-tdi-turnaround-analysis.md,
9,,industry_event_analysis,done,2026-08-13T23:22:31+00:00,1,research-outputs/active-coverage/industry/2026-08-13-tdi-rhine-supply-disruption.md,
10,,industry_event_followup,done,2026-08-27T12:00:00+00:00,1,research-outputs/active-coverage/industry/2026-08-27-tdi-rhine-t14-followup.md,
11,,industry_driver_update,done,2026-08-14T11:10:16+00:00,1,research-outputs/active-coverage/industry/2026-08-14-nea-ethylene-naphtha-spread-followup.md,
12,basf,consensus_bridge_update,done,2026-08-14T11:21:37+00:00,1,research-outputs/active-coverage/basf/2026-08-14-citi-consensus-volume-bridge.md,
13,basf,industry_driver_update,done,2026-08-14T11:21:37+00:00,1,research-outputs/active-coverage/basf/2026-08-14-barclays-q3-spreads-rhine.md,
14,basf,company_event_analysis,done,2026-08-16T11:20:29+00:00,2,research-outputs/active-coverage/basf/2026-08-16-rhine-record-low-company-event.md,
15,wanhua,industry_driver_update,done,2026-08-17T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-08-17-benzene-china-driver.md,
16,wanhua,industry_driver_update,done,2026-08-17T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-08-17-polymeric-mdi-benzene-spread-driver.md,
17,wanhua,industry_driver_update,done,2026-08-17T23:21:59+00:00,1,research-outputs/active-coverage/wanhua/2026-08-17-borsodchem-restart-verification.md,
18,linde,filing_analysis,done,2026-08-19T22:35:07+00:00,1,research-outputs/active-coverage/linde/event-13-form4-2026-08-19.md,
19,,industry_driver_update,done,2026-08-20T11:10:08+00:00,1,research-outputs/active-coverage/industry/2026-08-20-nea-ethylene-naphtha-spread.md,
20,,industry_driver_update,done,2026-08-20T11:10:08+00:00,1,research-outputs/active-coverage/industry/2026-08-20-japan-cfr-naphtha-jump.md,
21,wanhua,price_pass_through_check,done,2026-08-20T11:19:28+00:00,1,research-outputs/active-coverage/wanhua/2026-08-20-borsodchem-price-pass-through-check.md,
22,,industry_driver_update,done,2026-08-21T11:10:06+00:00,1,research-outputs/active-coverage/industry/2026-08-21-nea-ethylene-naphtha-spread-rebound.md,
23,basf,energy_cost_sensitivity_update,done,2026-08-21T23:21:32+00:00,1,research-outputs/active-coverage/basf/2026-08-21-eu-gas-cost-sensitivity.md,
24,basf,segment_spread_bridge_update,done,2026-08-21T23:21:32+00:00,1,research-outputs/active-coverage/basf/2026-08-22-citi-week34-segment-spread-bridge.md,
25,wanhua,company_driver_update,done,2026-08-22T23:20:26+00:00,1,research-outputs/active-coverage/wanhua/2026-08-22-july-export-data-analysis.md,
26,wanhua,model_driver_validation,done,2026-08-23T23:22:01+00:00,1,research-outputs/active-coverage/wanhua/2026-08-23-isocyanate-spread-validation.md,
27,,industry_driver_update,done,2026-08-24T11:10:06+00:00,1,research-outputs/active-coverage/industry/2026-08-24-nea-ethylene-naphtha-spread-followup.md,
28,basf,company_driver_update,done,2026-08-24T11:28:45+00:00,1,research-outputs/active-coverage/basf/2026-08-24-rhine-force-majeure-logistics-update.md,
29,wanhua,earnings_update,done,2026-08-24T23:19:31+00:00,1,research-outputs/active-coverage/wanhua/2026-08-24-2026h1-earnings-update.md,
30,wanhua,plant_restart_validation,done,2026-08-25T11:22:17+00:00,1,research-outputs/active-coverage/wanhua/2026-08-25-borsodchem-official-restart-validation.md,
31,wanhua,consensus_revision_check,done,2026-08-25T23:19:58+00:00,1,research-outputs/active-coverage/wanhua/2026-08-25-ebs-consensus-revision-check.md,
32,,industry_driver_update,done,2026-08-26T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-08-26-nea-ethylene-naphtha-spread.md,
33,,industry_driver_update,done,2026-08-26T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-08-26-dce-meg-futures-pullback.md,
34,wanhua,consensus_valuation_check,done,2026-08-26T11:30:31+00:00,1,research-outputs/active-coverage/wanhua/2026-08-26-post-h1-consensus-valuation-check.md,
35,linde,project_milestone_review,done,2026-08-26T23:28:45+00:00,1,research-outputs/active-coverage/linde/2026-08-26-blue-point-one-groundbreaking.md,
36,basf,sell_side_update_review,done,2026-08-26T23:28:45+00:00,1,research-outputs/active-coverage/basf/2026-08-26-kepler-target-price-review.md,
37,,industry_driver_update,done,2026-08-27T11:10:06+00:00,1,research-outputs/active-coverage/industry/2026-08-27-brent-risk-premium-unwind.md,
38,wanhua,consensus_valuation_check,done,2026-08-27T11:36:44+00:00,1,research-outputs/active-coverage/wanhua/2026-08-27-post-h1-consensus-wave-2.md,
39,basf,company_driver_update,done,2026-08-27T23:21:21+00:00,1,research-outputs/active-coverage/basf/2026-08-27-rhine-spokesperson-confirmation.md,
40,basf,company_driver_update,done,2026-08-28T11:21:27+00:00,1,research-outputs/active-coverage/basf/2026-08-28-german-chem-ifo-special-cycle.md,
41,wanhua,project_capex_validation,done,2026-08-29T11:27:33+00:00,1,research-outputs/active-coverage/wanhua/2026-08-29-binzhou-lfp-project-validation.md,
42,basf,industry_event_followup,done,2026-08-29T23:20:41+00:00,2,research-outputs/active-coverage/basf/2026-08-29-rhine-near-glw-recovery-followup.md,
43,basf,price_move_analysis,done,2026-08-31T10:20:05+00:00,1,research-outputs/active-coverage/basf/2026-08-31-price-move-data-quality-review.md,
44,basf,company_driver_update,done,2026-08-31T11:22:07+00:00,1,research-outputs/active-coverage/basf/2026-08-31-ttf-curve-gas-cost-update.md,
45,basf,company_driver_followup,done,2026-09-07T12:00:00+00:00,1,research-outputs/active-coverage/basf/2026-09-07-ttf-five-day-persistence.md,
46,basf,price_move_analysis,done,2026-08-31T16:20:06+00:00,1,research-outputs/active-coverage/basf/2026-08-31-price-move-close-review.md,
47,basf,data_quality_followup,done,2026-09-01T12:00:00+00:00,1,research-outputs/active-coverage/basf/2026-09-01-market-data-continuity-fix.md,
48,basf,price_move_analysis,done,2026-08-31T22:20:06+00:00,1,research-outputs/active-coverage/basf/2026-08-28-price-move-ifo-sector-beta.md,
49,linde,zero_base_review,done,2026-09-01T01:00:00+00:00,1,research-outputs/active-coverage/linde/2026-09-zero-base-review.md,
50,wanhua,zero_base_review,done,2026-09-01T01:00:00+00:00,2,research-outputs/active-coverage/wanhua/2026-09-zero-base-review.md,
51,basf,zero_base_review,done,2026-09-01T01:00:00+00:00,1,research-outputs/active-coverage/basf/2026-09-zero-base-review.md,
52,,industry_driver_update,done,2026-09-01T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-naphtha-spread.md,
53,,industry_driver_update,done,2026-09-01T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-price-event43.md,
54,,industry_driver_update,done,2026-09-01T11:10:05+00:00,2,research-outputs/active-coverage/industry/2026-09-01-cfr-japan-naphtha-event44.md,
